Device,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
Mobile,98,49,7444,1943,1.32%,2.52%,7.46,8
Desktop,35,21,7733,4174,0.45%,0.5%,13.81,13.33
Tablet,2,2,130,35,1.54%,5.71%,7.32,11.06
